"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBART",0.3134,0.09532,0.0397794115238236,0.0667431181192184,"Inexact",1
"quantBART",0.3158,0.10024,0.0990854905180251,0.107640715378248,"Inexact",1
"quantBART",0.3186,0.1074,0.168278083880636,0.069357266799044,"Inexact",1
"quantBART",0.3188,0.0998,0.0797860738696212,0.0748919049912247,"Inexact",1
"quantBART",0.3196,0.10732,0.183965372703451,0.235207228104397,"Inexact",1
"quantBART",0.337,0.10192,0.166960826432465,0.258722367704914,"Inexact",1
"quantBART",0.3202,0.10692,0.219267175169831,0.137884804528913,"Inexact",1
"quantBART",0.3248,0.0994,0.160510966808532,0.178006077889644,"Inexact",1
"quantBART",0.324,0.09708,0.0436769594760225,0.0680366541896995,"Inexact",1
"quantBART",0.3242,0.09824,0.10768651669734,0.109361893404179,"Inexact",1
"quantBART",0.3242,0.10268,0.0356908045021507,0.0995083716287285,"Inexact",1
"quantBART",0.3158,0.10768,0.136405112219984,0.144408669736735,"Inexact",1
"quantBART",0.3224,0.10364,0.167022381172127,0.152390016920474,"Inexact",1
"quantBART",0.321,0.1058,0.0742505422728056,0.133897860571712,"Inexact",1
"quantBART",0.323,0.1122,0.235456196706246,0.0894186293507429,"Inexact",1
"quantBART",0.3236,0.118,0.0783906806169777,0.101702081760328,"Inexact",1
"quantBART",0.315,0.10756,0.192222222222222,0.181458333333333,"Inexact",1
"quantBART",0.319,0.10744,0.140239739807797,0.140404857513133,"Inexact",1
"quantBART",0.3066,0.08956,0.0439823225490575,0.0388457260166897,"Inexact",1
"quantBART",0.3138,0.10072,0.147696295279898,0.0922130566658162,"Inexact",1
"quantBART",0.3246,0.10208,0.156017428104013,0.110654576045968,"Inexact",1
"quantBART",0.3232,0.11032,0.126639257249321,0.0547146950347299,"Inexact",1
"quantBART",0.319,0.09924,0.112385099177552,0.0854758449098072,"Inexact",1
"quantBART",0.3268,0.11904,0.140600105725935,0.0937916352703539,"Inexact",1
"quantBART",0.3074,0.09588,0.240220875159357,0.167004302353845,"Inexact",1
"quantBART",0.3198,0.10316,0.072735675107786,0.120617036385811,"Inexact",1
"quantBART",0.3224,0.10932,0.129977073313682,0.17044353657065,"Inexact",1
"quantBART",0.316,0.09696,0.0764041635636225,0.0905194062938395,"Inexact",1
"quantBART",0.3192,0.09668,0.101828854962251,0.174777224937634,"Inexact",1
"quantBART",0.3176,0.09864,0.286301748565899,0.302073398299813,"Inexact",1
"quantBART",0.3268,0.11744,0.122981244715623,0.0872525812172883,"Inexact",1
"quantBART",0.3236,0.10548,0.14665745426956,0.194820239816264,"Inexact",1
"quantBART",0.3096,0.0958,0.170402160578119,0.119255762336407,"Inexact",1
"quantBART",0.3212,0.10872,0.0879721660509043,0.0724692287717026,"Inexact",1
"quantBART",0.313,0.09676,0.0801669823354335,0.16944669922135,"Inexact",1
"quantBART",0.3132,0.10224,0.144092255008339,0.146409453058008,"Inexact",1
"quantBART",0.3272,0.11656,0.070765889227905,0.0722276809570599,"Inexact",1
"quantBART",0.3182,0.10796,0.0841599044478197,0.0692249811888638,"Inexact",1
"quantBART",0.3088,0.09584,0.084218154863803,0.133867131070238,"Inexact",1
"quantBART",0.318,0.09748,0.0703837345193239,0.0548616128352229,"Inexact",1
"quantBART",0.321,0.10452,0.0841100008089547,0.159341085106292,"Inexact",1
"quantBART",0.3166,0.10296,0.073229215148851,0.046947992622089,"Inexact",1
"quantBART",0.3094,0.08404,0.0862281508377122,0.0740485262614856,"Inexact",1
"quantBART",0.3222,0.1106,0.270813488283483,0.167728918062315,"Inexact",1
"quantBART",0.3142,0.10448,0.0333093623724402,0.133942880624615,"Inexact",1
"quantBART",0.3224,0.10032,0.250522691397304,0.198096842297683,"Inexact",1
"quantBART",0.3216,0.10048,0.0504533333333334,0.1456,"Inexact",1
"quantBART",0.3156,0.10444,0.0464280444083378,0.082553274618653,"Inexact",1
"quantBART",0.304,0.10276,0.057812834513557,0.178172394051755,"Inexact",1
"quantBART",0.322,0.11016,0.189474870887252,0.065978952923233,"Inexact",1
"quantBART",0.3102,0.08928,0.104578108804868,0.0438003125522841,"Inexact",1
"quantBART",0.322,0.10964,0.486324274945721,0.551552622693282,"Inexact",1
"quantBART",0.3226,0.104,0.0799396767029021,0.152352647993652,"Inexact",1
"quantBART",0.3164,0.10772,0.137265353486269,0.0885341925258462,"Inexact",1
"quantBART",0.3272,0.10284,0.0854062289010918,0.118058884099992,"Inexact",1
"quantBART",0.3336,0.11048,0.0958829168700281,0.199333323558019,"Inexact",1
"quantBART",0.3034,0.08716,0.231610730613075,0.214346805771673,"Inexact",1
"quantBART",0.3074,0.09432,0.0736670736670736,0.0432852756469148,"Inexact",1
"quantBART",0.3162,0.09108,0.0723226824080822,0.0755527732617412,"Inexact",1
