"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBART",0.306,0.09616,0.154612205356481,0.185131085320036,"Naive",3
"quantBART",0.316,0.10444,0.0734714552903456,0.101915969006056,"Naive",3
"quantBART",0.3176,0.10708,0.228763511312416,0.185449936567894,"Naive",3
"quantBART",0.3144,0.10036,0.174333026281078,0.187621036971686,"Naive",3
"quantBART",0.3196,0.11352,0.200608376786959,0.183269256691876,"Naive",3
"quantBART",0.3224,0.10612,0.0556439573344856,0.0607597198102154,"Naive",3
"quantBART",0.3184,0.09656,0.0760898606827489,0.0396044856695948,"Naive",3
"quantBART",0.3218,0.10768,0.11861256754773,0.198240643029462,"Naive",3
"quantBART",0.3136,0.10572,0.0925236823790285,0.0774570745164173,"Naive",3
"quantBART",0.3174,0.09548,0.0750935518071239,0.0475833244755511,"Naive",3
"quantBART",0.3162,0.10744,0.0954737133024865,0.120130972293373,"Naive",3
"quantBART",0.3266,0.11232,0.164097222222222,0.125069444444444,"Naive",3
"quantBART",0.3188,0.11348,0.160497864485681,0.104324252120115,"Naive",3
"quantBART",0.3072,0.09152,0.0336345086036062,0.0459295790833844,"Naive",3
"quantBART",0.3194,0.0956,0.0286874621370746,0.0526347094981018,"Naive",3
"quantBART",0.3298,0.10584,0.0427128871460901,0.0423697037870266,"Naive",3
"quantBART",0.3134,0.09248,0.0993622221826085,0.109843301290699,"Naive",3
"quantBART",0.323,0.09652,0.124313474725637,0.0855392440780784,"Naive",3
"quantBART",0.3108,0.09864,0.0450179231520576,0.0386056114029958,"Naive",3
"quantBART",0.317,0.09228,0.0228482029315307,0.0362411596724896,"Naive",3
"quantBART",0.304,0.09604,0.146411347110247,0.133733945914224,"Naive",3
"quantBART",0.3224,0.10996,0.239968581208039,0.279729232697991,"Naive",3
"quantBART",0.3254,0.10368,0.234847995796492,0.213439318688321,"Naive",3
"quantBART",0.3166,0.10032,0.162648047108923,0.15025672588551,"Naive",3
"quantBART",0.3174,0.10288,0.117512957028606,0.189071698330638,"Naive",3
"quantBART",0.3168,0.10212,0.115785086863404,0.0886592152221289,"Naive",3
"quantBART",0.3262,0.10332,0.0839567809072526,0.0730140943020156,"Naive",3
"quantBART",0.3124,0.10128,0.0688116523462441,0.116745713054629,"Naive",3
"quantBART",0.3254,0.10128,0.148968928771115,0.134641073735296,"Naive",3
"quantBART",0.316,0.09188,0.144492042754279,0.170470850578806,"Naive",3
"quantBART",0.318,0.1052,0.172776834347772,0.157837592906878,"Naive",3
"quantBART",0.3216,0.11376,0.298465093949108,0.253466126659766,"Naive",3
"quantBART",0.3154,0.104,0.310149159909873,0.349027836749382,"Naive",3
"quantBART",0.3214,0.10292,0.0833865852636405,0.0882268458226249,"Naive",3
"quantBART",0.316,0.10108,0.0598241758241758,0.0732747252747253,"Naive",3
"quantBART",0.3154,0.10212,0.108718772667574,0.149974015325782,"Naive",3
"quantBART",0.3122,0.10344,0.127625635127842,0.115679848248251,"Naive",3
"quantBART",0.3214,0.0956,0.0682121164656539,0.0637376216084513,"Naive",3
"quantBART",0.3182,0.10856,0.0649208448741192,0.149712398541289,"Naive",3
"quantBART",0.3102,0.09968,0.254281490729542,0.292968150546864,"Naive",3
"quantBART",0.3222,0.1108,0.103165938864629,0.0724218164174497,"Naive",3
"quantBART",0.3172,0.10148,0.167069633158699,0.107841105875444,"Naive",3
"quantBART",0.3252,0.11372,0.109284646984766,0.121563399854499,"Naive",3
"quantBART",0.3146,0.09488,0.159505089291156,0.134511784250176,"Naive",3
"quantBART",0.321,0.1116,0.228404232252699,0.255949510639797,"Naive",3
"quantBART",0.323,0.1076,0.0434876015302876,0.0976728941330711,"Naive",3
"quantBART",0.3222,0.10276,0.0451791686607112,0.0577276117089953,"Naive",3
"quantBART",0.313,0.0984,0.0791462282911309,0.0999726567678643,"Naive",3
"quantBART",0.3224,0.11048,0.130645965367465,0.094464826245149,"Naive",3
"quantBART",0.3068,0.09556,0.0283932870330279,0.073269367325378,"Naive",3
"quantBART",0.3046,0.08696,0.144031206122381,0.169080171064098,"Naive",3
"quantBART",0.308,0.0908,0.142322441901014,0.130238982322969,"Naive",3
"quantBART",0.3272,0.10028,0.0761990561990562,0.0671042471042471,"Naive",3
"quantBART",0.3082,0.0928,0.0415806989613608,0.0546231049502931,"Naive",3
"quantBART",0.3212,0.1122,0.113605331610627,0.149697806361531,"Naive",3
"quantBART",0.3112,0.1004,0.147372303788196,0.137794468353962,"Naive",3
"quantBART",0.3106,0.10604,0.226360181173287,0.222608933543188,"Naive",3
"quantBART",0.3124,0.10268,0.0485720307436279,0.119402535692388,"Naive",3
"quantBART",0.3206,0.09872,0.0586204701923715,0.0748220729196644,"Naive",3
"quantBART",0.325,0.108,0.158667575150745,0.120862312036583,"Naive",3
"quantBART",0.3168,0.10136,0.194525007643175,0.196416521377479,"Naive",3
"quantBART",0.333,0.11156,0.16581672314346,0.197983155742809,"Naive",3
"quantBART",0.3116,0.09,0.105963329284516,0.0773943795807409,"Naive",3
"quantBART",0.3176,0.1088,0.228030265054363,0.258958355835056,"Naive",3
"quantBART",0.3144,0.10616,0.283279430766459,0.264932109407371,"Naive",3
"quantBART",0.305,0.0976,0.112692833891588,0.0930910034438836,"Naive",3
"quantBART",0.3112,0.09908,0.108129142728212,0.0985423410441631,"Naive",3
"quantBART",0.328,0.10628,0.111842975949675,0.0631183424574416,"Naive",3
"quantBART",0.3152,0.10372,0.059504010793409,0.0277247303916909,"Naive",3
"quantBART",0.317,0.10372,0.0846912573478373,0.082147381822645,"Naive",3
"quantBART",0.3142,0.10208,0.100255562954158,0.0685041477120685,"Naive",3
"quantBART",0.3104,0.11004,0.108253371765957,0.158451551895394,"Naive",3
"quantBART",0.3226,0.10556,0.129106983700376,0.104483017430967,"Naive",3
"quantRF",0.3214,0.09948,0.178278453608319,0.101934691818726,"Naive",3
"quantRF",0.3178,0.11012,0.122441003712772,0.110147733692653,"Naive",3
"quantRF",0.3192,0.11212,0.203909355512345,0.101881154373597,"Naive",3
"quantRF",0.314,0.09984,0.282000983984782,0.0684589663083816,"Naive",3
"quantRF",0.3146,0.10572,0.304674792363283,0.133142055873153,"Naive",3
"quantRF",0.309,0.0956,0.0348536565848328,0.0882634153879266,"Naive",3
"quantRF",0.3172,0.09388,0.125625520464543,0.138846107783173,"Naive",3
"quantRF",0.3202,0.1046,0.0631749937606999,0.0852704353499044,"Naive",3
"quantRF",0.3212,0.11136,0.0878924863693109,0.0520572006124071,"Naive",3
"quantRF",0.3192,0.09908,0.101702064311235,0.0868193396850603,"Naive",3
"quantRF",0.3332,0.12604,0.143322727473596,0.0917130673030183,"Naive",3
"quantRF",0.3272,0.10944,0.0715135281248065,0.128789693967868,"Naive",3
"quantRF",0.3128,0.09256,0.143812886241439,0.144381790598577,"Naive",3
"quantRF",0.3054,0.0962,0.110525007104291,0.113297046800883,"Naive",3
"quantRF",0.3182,0.1022,0.164178096121647,0.0999286790865351,"Naive",3
"quantRF",0.3198,0.10592,0.0661483170917133,0.120018660584698,"Naive",3
"quantRF",0.3068,0.093,0.133575615954751,0.0918233289401238,"Naive",3
"quantRF",0.3124,0.09352,0.0815766403351842,0.160998554646652,"Naive",3
"quantRF",0.3294,0.10928,0.0717395020069693,0.092896762383662,"Naive",3
"quantRF",0.321,0.12048,0.0963977263881302,0.259828562886338,"Naive",3
"quantRF",0.312,0.09916,0.119665754174463,0.417823097536271,"Naive",3
"quantRF",0.327,0.10472,0.220711868861579,0.0388578926403128,"Naive",3
"quantRF",0.3164,0.0918,0.0877992277992278,0.0372887172887173,"Naive",3
"quantRF",0.3084,0.10084,0.0986936751055804,0.156361886654673,"Naive",3
"quantRF",0.3208,0.10348,0.115717307998,0.141112336852963,"Naive",3
"quantRF",0.3228,0.10528,0.0754877532408312,0.229964660282718,"Naive",3
"quantRF",0.3294,0.11572,0.228829269063534,0.153852178281558,"Naive",3
"quantRF",0.3252,0.10412,0.0445139656198069,0.235704889029527,"Naive",3
"quantRF",0.3208,0.11064,0.123987993282045,0.116071190499905,"Naive",3
"quantRF",0.317,0.10232,0.0580254811069791,0.0744310312778536,"Naive",3
"quantRF",0.3284,0.1076,0.0295045412853612,0.121258169077652,"Naive",3
"quantRF",0.319,0.10912,0.0608420659682421,0.23476137238835,"Naive",3
"quantRF",0.3112,0.10496,0.0643960143792573,0.0589005055951476,"Naive",3
"quantRF",0.3256,0.11084,0.169869455637242,0.0423233640170514,"Naive",3
"quantRF",0.3178,0.1034,0.148792505805585,0.180283600452729,"Naive",3
"quantRF",0.3276,0.10656,0.0871524298878662,0.0798748322349519,"Naive",3
"quantRF",0.307,0.10136,0.214978826739646,0.0539602543689655,"Naive",3
"quantRF",0.3246,0.11672,0.0553081229001693,0.0978912367293465,"Naive",3
"quantRF",0.315,0.1014,0.132274192979068,0.243321283647933,"Naive",3
"quantRF",0.3132,0.10004,0.0439605178701065,0.174442005891767,"Naive",3
"quantRF",0.3212,0.1066,0.115059043832204,0.149910822905415,"Naive",3
"quantRF",0.314,0.10668,0.101396778525729,0.0964968622184408,"Naive",3
"quantRF",0.328,0.11748,0.173736980620901,0.110754053385535,"Naive",3
"quantRF",0.319,0.10488,0.102732182128439,0.174798948351866,"Naive",3
"quantRF",0.3236,0.10316,0.0411600975720759,0.101885255682685,"Naive",3
"quantRF",0.3218,0.10316,0.13292558940414,0.184576018552651,"Naive",3
"quantRF",0.3168,0.0918,0.0430134354223907,0.140839349837915,"Naive",3
"quantRF",0.329,0.117,0.161924991996371,0.0629904599510863,"Naive",3
"quantRF",0.3186,0.10164,0.198551633688772,0.0443128504209001,"Naive",3
"quantRF",0.3278,0.12056,0.0538453868796032,0.0467055952210648,"Naive",3
"quantRF",0.3196,0.10756,0.0499915003014458,0.159625019505064,"Naive",3
